Product-ID,Base-Name,Price,Price Percentage Change 24h,Base Currency ID,Quote Currency ID
ZETA-USD,Zetachain,0.2514,-1.56617071260767,ZETA,USD
ZETA-USDC,Zetachain,0.2514,-1.56617071260767,ZETA,USDC
DOT-USD,Polkadot,4.454,-1.56906077348066,DOT,USD
DOT-USDC,Polkadot,4.454,-1.56906077348066,DOT,USDC
ONDO-USD,Ondo Finance,0.93578,-1.5755816399512,ONDO,USD
ONDO-USDC,Ondo Finance,0.93578,-1.5755816399512,ONDO,USDC
PIRATE-USD,Pirate Nation Token,0.0617,-1.59489633173844,PIRATE,USD
PIRATE-USDC,Pirate Nation Token,0.0617,-1.59489633173844,PIRATE,USDC
XYO-USDC,XYO,0.0123,-1.6,XYO,USDC
XYO-USD,XYO,0.0123,-1.6,XYO,USD
MINA-USD,Mina,0.245,-1.60642570281124,MINA,USD
ARPA-USDC,ARPA Chain,0.0245,-1.60642570281124,ARPA,USDC
MINA-USDC,Mina,0.245,-1.60642570281124,MINA,USDC
ARPA-USD,ARPA Chain,0.0245,-1.60642570281124,ARPA,USD
MINA-USDT,Mina,0.244,-1.61290322580645,MINA,USDT
MATIC-GBP,Polygon,0.1706,-1.61476355247982,MATIC,GBP
XTZ-USD,Tezos,0.609,-1.61550888529887,XTZ,USD
XTZ-USDC,Tezos,0.609,-1.61550888529887,XTZ,USDC
IO-USDC,io.net,0.974,-1.61616161616162,IO,USDC
IO-USD,io.net,0.974,-1.61616161616162,IO,USD
BAT-ETH,Basic Attention Token,0.00005527,-1.61979352082592,BAT,ETH
BCH-EUR,Bitcoin Cash,364.03,-1.64541229871393,BCH,EUR
BLUR-USD,Blur,0.1012,-1.65208940719145,BLUR,USD
BLUR-USDC,Blur,0.1012,-1.65208940719145,BLUR,USDC
NKN-USD,NKN,0.0349,-1.69014084507042,NKN,USD
NKN-USDC,NKN,0.0349,-1.69014084507042,NKN,USDC
ZETACHAIN-USD,Zetachain,0.2501,-1.69025157232704,ZETACHAIN,USD
ZETACHAIN-USDC,Zetachain,0.2501,-1.69025157232704,ZETACHAIN,USDC
FIL-BTC,Filecoin,0.00002551,-1.69556840077071,FIL,BTC
PENDLE-USDC,Pendle,4.346,-1.69644876724723,PENDLE,USDC
PENDLE-USD,Pendle,4.346,-1.69644876724723,PENDLE,USD
MOBILE-USD,Helium Mobile,0.000516,-1.71428571428571,MOBILE,USD
MOBILE-USDC,Helium Mobile,0.000516,-1.71428571428571,MOBILE,USDC
FIDA-USD,Bonfida,0.0858,-1.71821305841924,FIDA,USD
FIDA-USDC,Bonfida,0.0858,-1.71821305841924,FIDA,USDC
XTZ-GBP,Tezos,0.448,-1.75438596491228,XTZ,GBP
XTZ-BTC,Tezos,0.00000557,-1.7636684303351,XTZ,BTC
ARKM-USDC,Arkham,0.667,-1.76730486008837,ARKM,USDC
ARKM-USD,Arkham,0.667,-1.76730486008837,ARKM,USD
MANA-USDC,Decentraland,0.3072,-1.79028132992327,MANA,USDC
MANA-USD,Decentraland,0.3072,-1.79028132992327,MANA,USD
POND-USDC,Marlin,0.01041,-1.79245283018868,POND,USDC
POND-USD,Marlin,0.01041,-1.79245283018868,POND,USD
ICP-EUR,Internet Computer,4.567,-1.80606321221243,ICP,EUR
ANKR-USDC,Ankr,0.01789,-1.81119648737651,ANKR,USDC
ANKR-USD,Ankr,0.01789,-1.81119648737651,ANKR,USD
