start,low,high,open,close,volume,fibonacciretracement_signal,EMA_Short,EMA_Long,MACD,Signal_Line,macdcrossover_signal,FlowMinMax,ew_0,ew_1,ew_2,ew_3,ew_4,ew_5,ew_a,ew_b,ew_c,signal
2025-06-02 15:00:00,103917.5,104635.84,104212.18,104500.0,300.36452292,0,104549.29897148428,104697.45790721255,-148.15893572826462,-30.7964588606132,-1,1,,,,,,,,,,-1
2025-06-02 16:00:00,104076.48,104500.0,104499.99,104320.97,177.26431919,0,104514.17143740978,104669.56991408569,-155.39847667590948,-55.71686242367246,-1,-1,,,,,,,,,,-1
2025-06-02 17:00:00,104131.01,104542.43,104323.47,104447.73,249.67247483,1,104503.94967780827,104653.13732785711,-149.18765004884335,-74.41101994870664,-1,1,,,,,,,,,,0
2025-06-02 18:00:00,104248.01,104798.86,104447.72,104401.82,638.79961642,0,104488.23741968392,104634.52122949733,-146.28380981340888,-88.78557792164709,-1,-1,,,,,,,,,,-1
2025-06-02 19:00:00,104086.41,104560.25,104401.83,104470.22,328.69719565,0,104485.46550896332,104622.35076805309,-136.88525908977317,-98.40551415527231,-1,0,,,,,,,,,,-1
2025-06-02 20:00:00,104466.81,105043.47,104466.81,104952.39,252.57807649,0,104557.30004604589,104646.79811856768,-89.49807252179016,-96.6240258285759,1,0,,,,,,,,,,1
2025-06-02 21:00:00,104632.82,105185.17,104952.38,105011.98,194.58700713,0,104627.25080819268,104673.8486283034,-46.59782011072093,-86.61878468500491,1,0,,,,,,,,,,1
2025-06-02 22:00:00,105000.91,105870.0,105011.99,105745.0,460.76029395,1,104799.21222231688,104753.193174355,46.019047961890465,-60.09121815562584,1,0,,,,,,,,,,1
2025-06-02 23:00:00,105616.01,106000.0,105752.08,105904.94,274.21138969,0,104969.32418811429,104838.5077540324,130.8164340818912,-21.90968770812243,1,0,,,,,,,,,,1
2025-06-03 00:00:00,105798.68,106474.89,105909.79,106347.66,280.9601447,1,105181.37585148132,104950.29680928926,231.0790421920683,28.688058271915715,1,0,,,,,,,,,,1
2025-06-03 01:00:00,106178.01,106577.55,106348.54,106547.19,165.59847538,0,105391.50110509958,105068.58519378635,322.91591131323366,87.53362888017931,1,1,,,,,,,,,,1
2025-06-03 02:00:00,105636.11,106597.45,106547.19,105676.76,164.5259179,0,105435.38708893041,105113.6351794318,321.7519094986055,134.37728500386456,1,0,,,,,,,,,,1
2025-06-03 03:00:00,105407.57,105787.14,105676.75,105556.21,120.14602903,0,105453.97522909497,105146.41849947389,307.5567296210793,169.01317392730752,1,0,,,,,,,,,,1
2025-06-03 04:00:00,105178.45,105585.82,105556.2,105245.93,138.98080461,-1,105421.96827077266,105153.78972173508,268.1785490375769,188.8462489493614,1,-1,,,,,,,,,,0
2025-06-03 05:00:00,105241.71,105533.93,105241.73,105520.74,107.81945142,0,105437.16392142302,105180.97122382878,256.1926975942479,202.31553867833873,1,1,,,,,,,,,,1
2025-06-03 06:00:00,105271.7,105536.66,105520.83,105486.63,69.66259922,0,105444.77408735795,105203.61261465627,241.1614727016713,210.08472548300526,1,0,,,,,,,,,,1
2025-06-03 07:00:00,105215.25,105498.58,105486.62,105233.05,103.49127991,-1,105412.20115084134,105205.79316171877,206.40798912257014,209.34937821091825,-1,0,,,,,,,,,,-1
2025-06-03 08:00:00,104910.01,105306.08,105233.05,105140.75,230.48818414,0,105370.4394353273,105200.9751497396,169.4642855876882,201.37235968627226,-1,-1,,,,,,,,,,-1
2025-06-03 09:00:00,105099.77,105337.95,105140.73,105242.8,70.59561577,0,105350.8025991231,105204.07328679593,146.72931232716655,190.44375021445114,-1,0,,,,,,,,,,-1
2025-06-03 10:00:00,105184.8,105416.7,105242.8,105344.83,137.11774645,1,105349.88373771955,105214.49970999623,135.38402772331028,179.43180571622298,-1,0,,,,,,,,,,0
2025-06-03 11:00:00,105224.14,105422.84,105344.83,105352.02,100.39294208,0,105350.212393455,105224.68639814467,125.52599531033775,168.65064363504595,-1,0,,,,,,,,,,-1
2025-06-03 12:00:00,105289.77,105500.0,105352.02,105375.52,135.67724384,0,105354.105871385,105235.85925754136,118.24661384364299,158.56983767676536,-1,0,,,,,,,,,,-1
2025-06-03 13:00:00,105094.61,105743.15,105375.53,105500.71,210.59978237,0,105376.66035271039,105255.47783105682,121.18252165356535,151.09237447212536,-1,0,,,,,,,,,,-1
2025-06-03 14:00:00,105211.91,106801.67,105500.71,106653.6,995.61238705,1,105573.11260613956,105359.04243616373,214.0701699758356,163.68793357286742,1,0,,,,,,,,,,1
2025-06-03 15:00:00,106420.2,106901.68,106645.17,106702.16,676.19169098,0,105746.81220519502,105458.53262607752,288.27957911750127,188.6062626817942,1,1,,,,,,,,,,1
2025-06-03 16:00:00,105864.83,106764.98,106702.15,105890.9,499.29957833,0,105768.97955824193,105490.55983896066,278.4197192812717,206.5689540016897,1,-1,,,,,,,,,,1
2025-06-03 17:00:00,105820.0,106235.49,105891.06,106029.05,256.75592086,0,105808.99039543548,105530.44799903764,278.5423963978392,220.9636424809196,1,0,,,,,,,,,,1
2025-06-03 18:00:00,105647.52,106131.32,106029.05,106081.03,431.14051766,0,105850.84264229157,105571.23185096079,279.61079133077874,232.69307225089142,1,0,,,,,,,,,,1
