start,low,high,open,close,volume,gartleypattern_signal,peak,trough,gartley_x,gartley_a,gartley_b,gartley_c,gartley_d,fibonacciretracement_signal,signal
2025-06-07 17:00:00,3.225,3.2384,3.225,3.23,113487.6,0,,,,,,,,0,0
2025-06-07 17:30:00,3.2133,3.2324,3.2304,3.2151,251305.0,0,,3.2151,,,,,,0,0
2025-06-07 18:00:00,3.214,3.246,3.2148,3.2395,395079.1,0,,,,,,,,0,0
2025-06-07 18:30:00,3.2278,3.2439,3.24,3.2315,65308.2,0,,,,,,,,0,0
2025-06-07 19:00:00,3.2319,3.2517,3.2319,3.2507,146022.6,0,3.2507,,,,,,,1,1
2025-06-07 19:30:00,3.2389,3.2516,3.2509,3.2424,119124.3,0,,,,,,,,0,0
2025-06-07 20:00:00,3.2416,3.2534,3.2424,3.249,156059.7,0,,,,,,,,0,0
2025-06-07 20:30:00,3.2289,3.2484,3.2484,3.2318,98998.9,0,,3.2318,,,,,,0,0
2025-06-07 21:00:00,3.2318,3.2418,3.2318,3.2327,137258.0,0,,,,,,,,0,0
2025-06-07 21:30:00,3.2314,3.2462,3.2332,3.2434,92941.5,0,,,,,,,,0,0
2025-06-07 22:00:00,3.2354,3.2469,3.2439,3.2423,40777.3,0,,,,,,,,0,0
2025-06-07 22:30:00,3.2398,3.265,3.2423,3.2473,290169.1,0,3.2473,,,,,,,0,0
2025-06-07 23:00:00,3.2326,3.2474,3.2473,3.2382,61182.1,0,,,,,,,,0,0
2025-06-07 23:30:00,3.238,3.2499,3.2382,3.2438,72485.9,0,,,,,,,,1,1
2025-06-08 00:00:00,3.2309,3.2449,3.244,3.2403,31889.6,0,,,,,,,,0,0
2025-06-08 00:30:00,3.2358,3.2469,3.2407,3.2408,46819.1,0,,,,,,,,0,0
2025-06-08 01:00:00,3.2314,3.2411,3.2409,3.2326,61051.2,0,,3.2326,,,,,,0,0
2025-06-08 01:30:00,3.231,3.2601,3.2326,3.2589,139521.1,0,3.2589,,,,,,,1,1
2025-06-08 02:00:00,3.2485,3.2666,3.259,3.2489,51789.2,0,,,,,,,,0,0
2025-06-08 02:30:00,3.2449,3.2555,3.2492,3.2503,33257.3,0,,,,,,,,0,0
2025-06-08 03:00:00,3.2348,3.2518,3.251,3.2368,44921.9,0,,,,,,,,-1,-1
2025-06-08 03:30:00,3.23,3.241,3.2367,3.2354,82722.0,0,,3.2354,,,,,,0,0
2025-06-08 04:00:00,3.2304,3.2432,3.236,3.2421,46454.7,0,,,,,,,,0,0
2025-06-08 04:30:00,3.2387,3.2516,3.2422,3.2425,104124.1,0,,,,,,,,0,0
2025-06-08 05:00:00,3.2327,3.2467,3.2424,3.2452,54312.4,0,3.2452,,,,,,,0,0
2025-06-08 05:30:00,3.2384,3.248,3.2453,3.2404,52056.8,0,,,,,,,,0,0
2025-06-08 06:00:00,3.2358,3.2476,3.2405,3.2361,61022.5,0,,,,,,,,0,0
2025-06-08 06:30:00,3.2234,3.2406,3.2377,3.226,91336.5,0,,,,,,,,0,0
2025-06-08 07:00:00,3.22,3.2303,3.2255,3.2256,153518.6,0,,,,,,,,0,0
2025-06-08 07:30:00,3.2196,3.231,3.2253,3.2223,356911.2,0,,,3.2223,,,,,0,0
2025-06-08 08:00:00,3.2036,3.2267,3.2219,3.2166,635977.0,0,,,,,,,,0,0
2025-06-08 08:30:00,3.2139,3.2254,3.2165,3.2191,41480.8,0,3.2191,,,3.2191,,,,0,0
2025-06-08 09:00:00,3.1826,3.2205,3.22,3.194,340859.3,0,,,,,,,,0,0
