start,low,high,open,close,volume,gartleypattern_signal,peak,trough,fibonacciretracement_signal,signal
2025-06-04 20:30:00,3.1815,3.1981,3.1978,3.19,191549.2,0,,,0,0
2025-06-04 21:00:00,3.17,3.1912,3.1903,3.1886,222745.1,0,,3.1886,0,0
2025-06-04 21:30:00,3.1871,3.2103,3.1886,3.196,180065.2,0,3.196,,0,0
2025-06-04 22:00:00,3.1836,3.2089,3.1965,3.1852,170260.4,0,,,0,0
2025-06-04 22:30:00,3.1809,3.1955,3.184,3.1832,125464.1,0,,,0,0
2025-06-04 23:00:00,3.157,3.192,3.1815,3.1673,418507.8,0,,,0,0
2025-06-04 23:30:00,3.1601,3.1785,3.167,3.1645,133103.2,0,,,0,0
2025-06-05 00:00:00,3.1497,3.176,3.1641,3.1636,193438.8,0,,,0,0
2025-06-05 00:30:00,3.1603,3.1793,3.1637,3.1758,104450.3,0,3.1758,,0,0
2025-06-05 01:00:00,3.1639,3.187,3.1742,3.1684,107508.8,0,,,0,0
2025-06-05 01:30:00,3.1414,3.168,3.168,3.1557,84639.0,0,,3.1557,0,0
2025-06-05 02:00:00,3.1565,3.1948,3.1565,3.1831,388110.3,0,,,0,0
2025-06-05 02:30:00,3.1795,3.2168,3.1838,3.1934,300518.3,0,,,0,0
2025-06-05 03:00:00,3.1729,3.1958,3.1941,3.1841,118122.3,0,,,0,0
2025-06-05 03:30:00,3.18,3.1955,3.1843,3.1932,81801.5,0,,,0,0
2025-06-05 04:00:00,3.1886,3.202,3.1935,3.1929,110282.7,0,,,0,0
2025-06-05 04:30:00,3.1893,3.2105,3.193,3.2034,126084.7,0,3.2034,,1,1
2025-06-05 05:00:00,3.1784,3.207,3.2035,3.1791,49122.3,0,,,0,0
2025-06-05 05:30:00,3.1605,3.1798,3.1798,3.1743,122693.4,0,,3.1743,0,0
2025-06-05 06:00:00,3.1739,3.1935,3.1745,3.191,143920.2,0,,,0,0
2025-06-05 06:30:00,3.1672,3.1913,3.1905,3.18,151136.5,0,,,0,0
2025-06-05 07:00:00,3.1627,3.181,3.1785,3.1751,172630.9,0,,,0,0
2025-06-05 07:30:00,3.1482,3.1782,3.1754,3.158,177784.0,0,,,0,0
2025-06-05 08:00:00,3.1261,3.1665,3.1585,3.1407,281670.2,0,,3.1407,0,0
2025-06-05 08:30:00,3.139,3.1562,3.144,3.1542,118867.4,0,3.1542,,0,0
2025-06-05 09:00:00,3.1504,3.1661,3.154,3.1505,117521.4,0,,,0,0
2025-06-05 09:30:00,3.14,3.1605,3.15,3.1515,220817.5,0,,,0,0
2025-06-05 10:00:00,3.1411,3.1665,3.1514,3.1448,61385.6,0,,,0,0
2025-06-05 10:30:00,3.135,3.1525,3.144,3.1434,256031.5,0,,3.1434,0,0
2025-06-05 11:00:00,3.1298,3.1493,3.1445,3.1435,92111.9,0,,,0,0
2025-06-05 11:30:00,3.1432,3.1644,3.1432,3.1632,42408.8,0,,,0,0
2025-06-05 12:00:00,3.158,3.2011,3.163,3.1984,310872.3,0,,,1,1
2025-06-05 12:30:00,3.1882,3.2122,3.1984,3.2066,194061.9,0,,,0,0
2025-06-05 13:00:00,3.2067,3.2304,3.2073,3.2163,329164.8,0,3.2163,,0,0
2025-06-05 13:30:00,3.1296,3.2185,3.216,3.1456,603676.2,0,,,-1,-1
2025-06-05 14:00:00,3.1062,3.1491,3.1436,3.1449,589792.3,0,,3.1449,0,0
2025-06-05 14:30:00,3.1307,3.1714,3.1451,3.1542,562603.9,0,,,0,0
2025-06-05 15:00:00,3.1281,3.1543,3.1542,3.1445,1160931.0,0,,,0,0
2025-06-05 15:30:00,3.13,3.1472,3.1452,3.1322,200290.3,0,,,0,0
2025-06-05 16:00:00,3.0942,3.1394,3.1306,3.1017,625681.3,0,,,0,0
2025-06-05 16:30:00,3.073,3.1086,3.101,3.0781,1430997.5,0,,3.0781,0,0
2025-06-05 17:00:00,3.075,3.1049,3.0777,3.0871,457949.5,0,3.0871,,0,0
2025-06-05 17:30:00,3.0666,3.0918,3.0872,3.0813,253327.0,0,,,0,0
2025-06-05 18:00:00,3.0372,3.0831,3.0804,3.0716,1409742.5,0,,,-1,-1
2025-06-05 18:30:00,3.0562,3.0794,3.0735,3.069,238398.0,0,,,0,0
2025-06-05 19:00:00,2.94,3.0725,3.0698,3.0014,1874042.1,0,,,0,0
2025-06-05 19:30:00,2.9898,3.0246,3.0011,2.9981,524600.5,0,,,0,0
2025-06-05 20:00:00,2.91,3.0057,2.9984,2.9485,1885822.3,0,,,-1,-1
2025-06-05 20:30:00,2.8752,2.9501,2.949,2.8963,2278160.6,0,,2.8963,0,0
2025-06-05 21:00:00,2.8924,2.935,2.8966,2.9281,1238875.3,0,,,0,0
2025-06-05 21:30:00,2.9148,2.9701,2.927,2.9669,813010.6,0,2.9669,,0,0
2025-06-05 22:00:00,2.9322,2.9664,2.9664,2.9519,317406.9,0,,,0,0
2025-06-05 22:30:00,2.9484,2.9694,2.9512,2.9573,227330.2,0,,,0,0
2025-06-05 23:00:00,2.9436,2.9601,2.9576,2.9571,162537.8,0,,,0,0
2025-06-05 23:30:00,2.9164,2.9583,2.9567,2.9236,507967.0,0,,2.9236,0,0
